Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Burundi,BDI,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,13.37147701,13.73276776,14.12113807,11.772377,14.37735465,16.72743847,24.35249779,24.66684797,27.28628231,,,,,,,,,,25.70979888,25.68032011,25.35110765,32.69617706,30.27698037,31.08223954,36.76971072,32.97278921,37.98740923,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.441378,26.13262168,26.19824376,25.86380399,26.89155881,26.74379396,25.62386718,24.23215648,24.58611821,25.14467148,25.25619075,25.35377421,25.41102237,24.44099985,25.11810517,25.37908328,24.73380895,24.96899083,24.29718376,24.08259533,24.84615731,26.53534288,26.07441167,25.95899769,
Benin,BEN,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,,,9.612362493,10.44042724,8.503631524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.3689477,33.8215748,37.86411627,37.29562516,34.24016088,33.0848629,38.65520916,36.67342943,36.17690597,35.02019498,36.62628985,36.30917781,38.5738339,41.38673117,42.65154201,43.11145779,44.5020549,
Bangladesh,BGD,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.82917924,25.18764075,32.35985767,28.94877543,27.49813923,28.60587854,28.1825696,27.61461607,28.75832228,29.7410428,30.96397246,29.09138885,28.59485096,28.2187092,31.28522089,32.25453408,,,
Bulgaria,BGR,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.71752549,16.92881791,14.27396764,18.29031029,28.16157022,,,,,,,,,,,42.89022907,46.24492722,42.65854374,44.9986715,42.5149032,44.93879281,45.60363817,46.06726385,45.32449282,42.7552267,44.11373704,46.16072747,44.52510313,42.25391165,
Bahrain,BHR,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,1.021276596,1.550387597,2.249598286,2.273618189,1.387367652,1.873151495,1.36863361,1.509504286,1.96679899,2.50764526,2.848948375,3.250831178,3.80600261,3.937198068,4.198280223,4.310344828,3.778541119,3.646038628,4.321848237,4.68666785,4.750778816,5.366027008,4.479495268,3.5,4.024544306,3.342981187,2.333087422,2.4145469,2.554353125,2.681691125,2.453620586,,,,,,,,,,,,,,,
"Bahamas, The",BHS,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.789522919,2.822201317,5.005744297,8.75359685,5.23552574,5.618408042,6.620929177,5.401964644,12.70859543,10.22294725,11.50261823,9.577183442,12.40175634,16.3188256,26.12498916,29.09428658,11.08694009,28.39209645,28.64619798,15.34695291,14.63468336,13.73383261,17.83786133,28.17618962,43.12712304,43.03290622,62.46406104,
Bosnia and Herzegovina,BIH,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.67168518,50.60084198,49.38663752,46.34197991,43.30554631,44.85980603,44.87915307,44.58028282,43.86051135,42.97792421,44.33091316,44.2670447,43.55386562,43.55882787,43.68432859
Belarus,BLR,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.98305085,31.93591455,35.35792488,33.18117477,37.44875991,41.11614933,37.95857694,37.91548381,38.80325829,36.44829427,36.07239218,34.43745628,34.56478342,33.58006881,38.32403692,34.19328021,30.17449417,28.83593592,32.31075288,28.9364604,28.99073108,31.1192612,32.3505333,28.04255034,28.96180713,26.02003338,26.56860426,
Belize,BLZ,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.196981329,8.864276924,8.092134992,11.38266746,13.33059564,15.99707256,36.01346104,33.06511717,30.5245734,23.35015838,28.08604867,28.36530376,27.27973952,26.7923029,29.98067162,32.96231977,34.96482203,32.26880138,31.45814007,30.70031917,32.42503402,27.83718393,34.39886357,32.39524201,34.72825113,35.66876599,46.66140731,48.07216711,,
Bermuda,BMU,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,60.12903226,35.69877615,30.34758222,35.5509211,35.34230879,34.58342493,36.98983656,39.01735606,34.99817297,43.35823136,45.01741319,50.20564666,53.73028351,52.91163764,43.75117166,50.42090924,48.64667469,47.7814564,45.56258774,45.30627124,48.20846464,33.11541355,49.30806143,,,,,,,,,,,,
Brazil,BRA,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.16985115,21.24016164,17.99763203,19.12334353,24.35739721,,,22.89513717,32.60143404,37.16801785,39.80315287,40.52066357,40.6483489,41.85339405,43.09446963,41.52291838,31.72363108,31.92234727,27.13438505,28.41389768,23.14577725,23.0458196,22.59391701,22.40551198,21.96241994,20.60961916,19.01902484,20.72278277,20.91895834,
Barbados,BRB,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.74288091,44.35581583,45.86188581,44.45102289,43.03306108,41.95522083,39.60817192,44.68758153,49.42740957,47.16401034,49.77619919,44.36048766,48.35652632,45.87893032,,,
Brunei Darussalam,BRN,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,10.79180064,,12.40940877,9.25178516,9.508020432,,8.810672722,9.060402685,10.7430428,11.19657625,11.79544015,10.43088976,9.95792891,9.499495006,8.652472621,6.965445117,10.63768313,6.824035591,10.81764721,6.342173316,10.40723508,17.38321959,7.232258241,11.78502133,12.28751283,8.85298216,10.22849172,10.38537036,12.25700473,14.92606028,19.5311,23.03483079,16.79478457,19.26796282,18.04489359,20.61480584,24.20688874,
Botswana,BWA,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89483529,2.08566108,3.054989817,2.82261889,4.177729367,4.474103143,3.786023991,,,,,,,,,,8.828866887,10.71285387,15.21360267,13.92346129,15.38800991,13.30640255,13.31020765,10.56783651,10.7320645,13.13975892,12.11888327,14.52496479,13.90494552,
Central African Republic,CAF,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.78053537,,,,33.62920121,28.68888446,31.29743038,35.77901377,14.62618926,,6.224865186,21.2501249,10.706626,8.37433102,11.6153908,
Canada,CAN,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.06369702,27.40430072,29.77065613,32.08964476,30.51045248,31.63144048,31.11408942,32.79496045,33.85714114,33.28240003,34.01704324,33.95400359,34.30041185,35.54222063,37.10763954,36.35219204,34.61825667,33.45432149,34.4144315,36.36773877,37.84610494,36.79078642,36.63425646,37.02585861,36.45892046,36.49195231,36.62809342,36.76832426,
Switzerland,CHE,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,23.06448014,21.0269174,19.82591876,18.67157822,18.07141874,19.1340735,19.52155843,20.18622902,20.33716963,20.73375149,20.60773756,21.37034484,21.17734659,,,,,,31.39335268,30.36652959,28.81604736,28.97953792,27.70239547,30.65392529,29.55580411,30.68232844,31.52860757,33.96365658,33.48793381,34.58536593,33.30824658,33.70900692,34.56594948,34.45661226,34.16340908,33.73587456,32.93455923,32.72735853,33.47135779,33.01668988,32.74433357,32.24945983,32.3116761,31.07980425,30.85729969,30.47653673,29.96718303,
Channel Islands,CHI,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,31.5625,31.71206226,31.07779579,36.79949559,37.07057108,36.20971403,33.51424157,34.61098877,39.488126,42.73961444,39.34598173,40.28413372,39.96514278,43.62648059,43.47107871,42.30234941,40.26766964,43.48605149,43.82824671,44.94572933,45.73767061,46.30862005,45.44284099,46.34064514,46.29948271,46.51833823,46.9477829,47.08562732,46.89099794,49.15025337,49.04404569,45.25747158,41.27135327,34.36518618,34.34201873,39.07812297,45.83743028,45.05875642,43.96868869,43.27938426,48.8635339,49.22281916,48.53018018,49.69777271,50.13239439,46.89706238,
China,CHN,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.68765996,56.78959219,37.73707808,56.86332561,60.11020983,63.37455078,62.13174889,61.32763926,57.9789535,38.42374605,35.31050746,34.7463159,32.87671948,,
Cote d'Ivoire,CIV,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.38109461,,,,,,23.40712161,22.05806885,19.66109564,18.26943671,19.4866133,18.41263039,15.76067978,17.3370947,22.90712064,21.18655209,21.53297788,23.64231634,20.81587643,21.01359707,33.72491455,36.46789477,36.46496095,37.18496522,
Cameroon,CMR,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.24476139,19.09521928,17.52737392,20.67657428,23.94238256,25.77999776,,,21.76015586,26.62831716,,,,,,,,,,,,,29.90753147,32.56267978,33.51344095,34.56535694,38.63260554,41.09022676,42.67229468,
"Congo, Dem. Rep.",COD,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",COG,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.60828177,21.05836576,16.69111654,10.04821343,7.076434919,5.158449747,6.934103748,4.63856317,12.72779382,5.480916792,9.708873982,9.843265413,9.81737708,12.58461443,22.95172876,26.81090404,24.8565587,12.01354645,
Colombia,COL,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.58832296,,,,,23.99610963,,,,,28.73448699,26.93813151,27.29317204,26.14733239,24.43426338,21.97237712,24.88542079,25.95165308,24.25582525,25.59483742,26.75295376,
Comoros,COM,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.09008332,29.92276419,32.36966065,31.78406184,27.33157905,27.18941665,30.7473168,25.92417018,28.11201675,29.81945692,27.06078057,24.92186378,29.5075113,,
