Exajoules,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2019,2008-18,2019
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n/a,n/a,n/a
Ireland,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.01,0.03,0.04,0.06,0.07,0.07,0.08,0.05,0.05,0.06,0.07,0.08,0.08,0.08,0.09,0.09,0.1,0.11,0.12,0.12,0.13,0.14,0.15,0.15,0.15,0.15,0.15,0.17,0.18,0.19,0.18,0.2,0.17,0.17,0.16,0.16,0.16,0.18,0.18,0.19,0.19,2.00%,?,0.10%
Italy,0.27,0.29,0.32,0.37,0.41,0.44,0.46,0.52,0.59,0.66,0.76,0.92,0.94,0.93,0.95,0.94,0.92,0.91,0.94,1.1,1.12,1.19,1.32,1.43,1.55,1.64,1.74,1.72,1.76,1.7,1.87,1.93,2,2.16,2.34,2.44,2.45,2.43,2.68,2.78,2.98,2.92,2.93,2.91,2.68,2.85,2.67,2.57,2.4,2.12,2.32,2.43,2.58,2.49,2.55,2.30%,-1.50%,1.80%
Latvia,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.05,0.03,0.03,0.04,0.03,0.03,0.04,0.04,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.05,-4.40%,-1.40%,?
Lithuania,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.15,0.15,0.15,0.16,0.17,0.2,0.2,0.12,0.06,0.07,0.08,0.09,0.08,0.07,0.08,0.09,0.09,0.09,0.1,0.1,0.1,0.1,0.12,0.11,0.09,0.1,0.11,0.11,0.09,0.09,0.09,0.08,0.08,0.08,0.08,-3.60%,-2.90%,0.10%
Luxembourg,-,-,-,-,^,^,^,^,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.10%,-4.60%,?
Netherlands,0.05,0.1,0.18,0.31,0.45,0.64,0.83,1.08,1.2,1.28,1.33,1.38,1.39,1.39,1.39,1.27,1.21,1.15,1.23,1.31,1.38,1.38,1.42,1.28,1.32,1.33,1.48,1.44,1.48,1.43,1.47,1.63,1.53,1.51,1.47,1.48,1.51,1.49,1.5,1.54,1.49,1.43,1.4,1.45,1.49,1.68,1.47,1.41,1.41,1.24,1.23,1.27,1.3,1.27,1.33,4.20%,-1.30%,0.90%
North Macedonia,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.01,^,^,0.01,0.01,0.01,0.01,16.40%,8.00%,?
Norway,-,-,-,-,-,-,-,-,-,-,-,-,0.01,0.02,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.07,0.08,0.08,0.09,0.1,0.1,0.11,0.11,0.12,0.14,0.14,0.14,0.15,0.14,0.15,0.16,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.15,0.16,0.16,0.17,0.16,0.16,0.20%,0.40%,0.10%
Poland,0.06,0.07,0.09,0.12,0.17,0.22,0.24,0.25,0.26,0.27,0.29,0.31,0.33,0.34,0.36,0.37,0.35,0.35,0.35,0.37,0.37,0.4,0.41,0.41,0.4,0.37,0.35,0.32,0.34,0.34,0.38,0.4,0.39,0.4,0.39,0.42,0.43,0.42,0.47,0.5,0.51,0.52,0.52,0.56,0.54,0.58,0.59,0.63,0.63,0.61,0.62,0.66,0.69,0.72,0.73,2.30%,2.40%,0.50%
