Exajoules,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2019,2008-18,2019
Total Middle East,0.37,0.58,0.72,0.82,0.86,0.95,0.99,1.12,1.08,1.32,1.23,1.33,1.49,1.50,1.92,2.07,2.48,2.70,3.01,3.37,3.63,3.82,4.08,3.78,4.40,4.99,5.37,5.78,6.21,6.73,7.35,8.00,8.80,9.27,10.28,11.16,11.94,13.06,14.12,14.90,17.09,18.72,19.64,20.26,20.98,21.61,22.46,23.28,24.51,25.03,2.1%,5.7%,17.4%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,0.09,0.09,0.12,0.16,0.18,0.22,0.28,0.27,0.41,0.68,0.55,0.64,0.84,1.20,1.22,1.34,1.37,1.55,1.62,1.75,1.86,2.01,2.09,2.11,1.94,2.21,2.35,2.69,2.89,3.24,3.31,3.11,3.20,3.38,3.31,3.06,2.93,2.94,2.97,2.76,2.79,2.87,2.82,2.86,2.89,2.93,3.29,3.35,3.38,3.10,-8.1%,1.3%,2.2%
Egypt,^,^,^,^,^,^,0.01,0.02,0.03,0.04,0.08,0.08,0.09,0.11,0.14,0.17,0.20,0.22,0.24,0.27,0.28,0.31,0.34,0.39,0.42,0.43,0.46,0.47,0.49,0.58,0.73,0.87,0.95,1.04,1.14,1.47,1.90,1.93,2.04,2.17,2.12,2.13,2.11,1.94,1.69,1.53,1.45,1.76,2.11,2.34,10.9%,0.3%,1.6%
Libya,0.01,0.02,0.10,0.15,0.14,0.16,0.16,0.17,0.18,0.23,0.18,0.11,0.11,0.13,0.16,0.18,0.19,0.17,0.19,0.23,0.21,0.22,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.18,0.20,0.21,0.20,0.19,0.28,0.39,0.45,0.52,0.54,0.54,0.58,0.27,0.42,0.44,0.43,0.40,0.34,0.31,0.30,0.34,14.0%,-5.8%,0.2%
Nigeria,^,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.04,0.05,0.06,0.08,0.09,0.10,0.10,0.09,0.11,0.10,0.13,0.15,0.14,0.13,0.15,0.17,0.15,0.17,0.19,0.18,0.22,0.16,0.40,0.55,0.62,0.77,0.82,0.83,0.97,1.21,1.18,0.83,1.11,1.31,1.41,1.19,1.44,1.71,1.53,1.70,1.74,1.77,2.1%,3.9%,1.2%
Other Africa,^,0.01,0.01,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.11,0.11,0.10,0.11,0.11,0.11,0.14,0.18,0.19,0.22,0.22,0.28,0.29,0.27,0.35,0.41,0.42,0.44,0.60,0.61,0.69,0.69,0.68,0.71,0.71,0.77,0.80,0.96,0.98,1.01,2.7%,5.1%,0.7%
Total Africa,0.11,0.13,0.23,0.35,0.37,0.42,0.49,0.50,0.67,1.02,0.89,0.95,1.17,1.57,1.65,1.82,1.91,2.08,2.22,2.44,2.60,2.78,2.91,3.00,2.84,3.14,3.36,3.75,3.99,4.38,4.86,5.03,5.26,5.65,5.91,6.16,6.66,7.05,7.34,6.92,7.28,7.26,7.44,7.14,7.15,7.34,7.41,8.07,8.50,8.57,0.7%,1.5%,6.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,0.06,0.09,0.13,0.17,0.19,0.21,0.25,0.28,0.30,0.35,0.40,0.43,0.42,0.46,0.45,0.48,0.53,0.54,0.55,0.64,0.74,0.78,0.84,0.88,1.01,1.07,1.07,1.07,1.09,1.11,1.12,1.18,1.19,1.21,1.29,1.38,1.46,1.54,1.50,1.68,1.94,2.00,2.14,2.22,2.40,2.74,3.47,4.06,4.68,5.52,18.0%,12.1%,3.8%
Bangladesh,-,-,0.02,0.02,0.02,0.02,0.03,0.04,0.04,0.05,0.05,0.05,0.06,0.07,0.08,0.09,0.10,0.12,0.14,0.15,0.16,0.17,0.18,0.21,0.22,0.24,0.26,0.26,0.28,0.30,0.33,0.37,0.38,0.41,0.44,0.48,0.52,0.55,0.59,0.67,0.69,0.70,0.77,0.79,0.83,0.93,0.95,0.96,0.96,1.03,8.0%,5.0%,0.7%
Brunei,0.01,0.01,0.02,0.07,0.15,0.19,0.26,0.29,0.29,0.30,0.30,0.29,0.29,0.31,0.31,0.30,0.30,0.30,0.31,0.31,0.31,0.32,0.34,0.36,0.36,0.41,0.41,0.41,0.38,0.39,0.40,0.40,0.40,0.43,0.43,0.42,0.44,0.43,0.43,0.40,0.43,0.45,0.44,0.43,0.46,0.48,0.47,0.46,0.45,0.47,3.3%,0.6%,0.3%
China,0.10,0.14,0.18,0.22,0.27,0.32,0.37,0.44,0.50,0.53,0.52,0.46,0.43,0.44,0.45,0.47,0.50,0.50,0.52,0.55,0.56,0.56,0.57,0.61,0.64,0.65,0.73,0.82,0.84,0.91,0.99,1.10,1.19,1.27,1.50,1.79,2.12,2.51,2.91,3.09,3.48,3.82,4.01,4.39,4.72,4.88,4.97,5.37,5.82,6.39,9.9%,7.2%,4.5%
India,0.02,0.02,0.03,0.03,0.03,0.04,0.05,0.05,0.06,0.07,0.04,0.07,0.09,0.11,0.13,0.16,0.22,0.25,0.29,0.35,0.42,0.46,0.52,0.53,0.57,0.65,0.71,0.77,0.85,0.87,0.91,0.92,0.96,1.02,1.01,1.03,1.01,1.04,1.06,1.30,1.71,1.55,1.34,1.12,1.06,1.01,0.96,1.00,0.99,0.97,-2.1%,-0.7%,0.7%
Indonesia,0.05,0.05,0.04,0.06,0.06,0.09,0.09,0.21,0.40,0.58,0.68,0.69,0.70,0.80,1.07,1.18,1.23,1.31,1.43,1.51,1.60,1.76,1.87,1.94,2.21,2.22,2.34,2.40,2.36,2.56,2.54,2.47,2.72,2.85,2.73,2.75,2.71,2.61,2.69,2.81,3.13,2.98,2.82,2.79,2.75,2.74,2.70,2.62,2.62,2.43,-7.2%,-0.3%,1.7%
Malaysia,-,^,^,^,0.01,0.01,0.01,0.01,0.09,0.11,0.09,0.08,0.10,0.24,0.36,0.40,0.54,0.59,0.61,0.66,0.65,0.77,0.81,0.87,0.92,1.02,1.30,1.49,1.48,1.52,1.79,1.76,1.82,1.90,2.17,2.44,2.43,2.43,2.49,2.38,2.34,2.41,2.49,2.61,2.60,2.77,2.76,2.82,2.78,2.84,2.0%,1.1%,2.0%
Myanmar,^,^,^,^,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.04,0.05,0.06,0.06,0.05,0.06,0.06,0.12,0.25,0.30,0.34,0.36,0.43,0.45,0.48,0.44,0.41,0.44,0.45,0.45,0.46,0.60,0.69,0.66,0.64,0.61,0.61,?,3.4%,0.4%
Pakistan,0.10,0.10,0.10,0.11,0.12,0.14,0.14,0.15,0.16,0.18,0.22,0.24,0.26,0.25,0.26,0.27,0.28,0.30,0.32,0.34,0.37,0.40,0.39,0.45,0.46,0.47,0.51,0.51,0.54,0.61,0.65,0.68,0.74,0.92,1.10,1.17,1.20,1.22,1.25,1.25,1.27,1.27,1.32,1.28,1.26,1.26,1.25,1.25,1.23,1.22,-1.0%,-0.1%,0.8%
Thailand,-,-,-,-,-,-,-,-,-,-,-,0.01,0.05,0.06,0.09,0.12,0.13,0.19,0.22,0.22,0.24,0.30,0.32,0.36,0.40,0.42,0.49,0.60,0.65,0.72,0.75,0.73,0.76,0.80,0.83,0.88,0.91,0.97,1.07,1.06,1.21,1.22,1.38,1.40,1.41,1.35,1.34,1.29,1.25,1.29,3.0%,1.5%,0.9%
