Year,Australia,Austria,Belgium,Burkina Faso,Bolivia,Canada,Switzerland,Colombia,Costa Rica,Cyprus,Germany,Denmark,Dominican Republic,Ecuador,Euro area,Spain,European Union,Finland,France,United Kingdom,Greece,Guatemala,Honduras,Haiti,Indonesia,India,Ireland,"Iran, Islamic Rep.",Israel,Italy,Jamaica,Japan,"Korea, Rep.",Latin America & Caribbean (excluding high income),Sri Lanka,Luxembourg,Morocco,Mexico,Malta,Myanmar,Malaysia,North America,Nigeria,Netherlands,Norway,New Zealand,OECD members,Pakistan,Panama,Peru,Philippines,Portugal,Paraguay,Post-demographic dividend,Sudan,El Salvador,Sweden,Latin America & the Caribbean (IDA & IBRD countries),Turkey,Uruguay,United States,South Africa
1970,3.439153439,4.372834991,3.908472385,1.772603315,3.955509211,3.346039814,3.615988321,6.908622758,4.652297493,2.40018825,3.450241667,6.514841417,3.816666666,5.129987488,4.140653688,5.73115584,4.506094218,2.740420431,5.299641246,6.366568417,2.841681991,2.344339349,2.880886427,1.368493407,12.39946465,5.09226162,8.207190161,1.66687094,6.110742036,4.968319873,14.7280042,6.924173835,15.95034161,4.303903352,5.866956078,4.639353444,1.279181324,5.003412055,3.715658848,-4.008438818,1.843935966,4.592147576,13.75707992,3.668918202,10.63720653,6.517181052,5.73115584,5.34984091,3.083294984,5.025235901,14.38146168,6.38014449,-0.859556021,4.968319873,4.02779565,2.817853922,7.016358851,3.955509211,7.923952083,16.30614494,5.838255338,4.991859976
1971,6.138107417,4.704264649,4.343628546,2.06121818,3.674614306,2.704918033,6.573226046,12.05673759,3.083048414,4.144006128,5.240974171,5.869869591,3.580028897,8.38402539,5.016319277,8.23688063,5.240974171,6.475765431,5.397518656,9.444837423,3.28947824,-0.453591881,2.223247942,9.579583282,4.233748945,3.079938684,8.961748634,4.195298373,11.97257732,4.791664383,5.336179296,6.395348837,13.51170385,4.313935621,2.665380209,4.67221498,4.155352068,5.469028994,2.323812158,2.087912088,1.613035964,3.49884236,15.99911485,7.477692552,6.223863235,10.38756832,6.395348837,4.730691482,1.919642857,6.790639365,21.40334354,11.94689837,4.953256936,6.138107417,1.303669009,0.445808668,7.395541138,4.313935621,19.01140868,23.95308891,4.292766688,5.957448096
1972,6.024096386,6.355134987,5.448431284,-2.923356559,6.511544012,4.988028731,6.660001326,12.02531646,4.601125693,4.832303619,5.484936719,6.562360903,8.640731556,7.881893607,5.906253517,8.272287728,6.007389699,6.662497835,6.063003097,7.071098395,4.331215999,0.529703252,3.612281758,3.189693969,6.521749213,6.442097462,8.605817453,6.398241351,12.88146126,5.749503937,5.427702996,4.843517139,11.68898571,5.18569768,6.34948605,5.225680506,3.759170557,4.943692364,3.372761068,7.64262648,3.231554224,4.130153489,3.457649752,7.802791435,7.25843583,6.932804592,6.562360903,5.183237645,5.409548839,7.219722168,8.204034135,10.66335598,9.180374973,6.063003097,13.55475071,1.535215367,6.007389699,5.969623504,15.41645572,76.48492378,3.272278247,6.425693925
1973,9.090909091,7.53108065,6.955280087,7.603890363,31.48602879,7.487647282,8.754676224,22.59887006,15.21403422,7.808882341,7.032025724,9.30338298,15.07953492,13.01176205,7.915543045,11.41670926,7.749086129,10.75447188,7.380601064,9.196033167,15.38463516,13.79603399,5.193201627,22.73891948,31.04188127,16.94081598,11.41485039,9.819486733,20.03237369,10.79861745,17.68259198,11.60862355,3.221029139,13.22618137,9.626643102,6.068098359,4.084614036,12.08193946,7.689289918,25.2,10.56017574,6.832703673,5.402664454,8.02220375,7.419472836,8.166669273,8.922792658,23.07008403,6.856430501,9.489051095,16.58003226,12.97460852,12.79689453,8.094436511,15.28908795,6.391974203,6.717997398,13.61831735,13.93816524,96.99726532,6.177760064,9.433972641
1974,15.41666667,9.521793791,12.67788775,8.719609454,62.8360756,10.99717115,9.767413601,22.58064516,30.07362928,16.17666667,6.986432425,15.27520622,13.14076737,23.32135427,14.66484789,15.68037832,13.16360261,16.9364,13.64931747,16.04401119,26.56083438,16.49489669,12.84954775,14.95069734,40.49179044,28.59873408,16.97612732,14.24893554,39.67997715,19.15976959,27.15818946,23.22224581,24.30419537,22.95099971,12.3028868,9.540655417,17.55682275,23.78401544,7.255616272,25.21166134,17.32898098,11.02598798,12.67439318,9.591424843,9.411768132,11.10940201,15.34593644,26.66303485,16.26806663,16.89166667,34.16359164,25.08277786,25.23331778,13.16360261,26.1581023,16.89903684,9.911725301,22.95099971,23.89816158,77.21341378,11.0548048,11.72412209
1975,15.16245487,8.445252783,12.76819859,18.75694661,7.976746025,10.6721886,6.696595407,25.18796992,17.36920202,4.63948584,5.910328845,9.605612075,14.50172574,15.36298569,12.22706292,16.95328243,10.46757583,17.81139723,11.68592725,24.20728767,13.62876803,13.15924438,8.376162506,16.77357032,19.16569713,5.748430298,20.87585034,12.87918183,39.30673238,16.95050257,17.37614679,11.73126615,25.2492579,15.36298569,6.625992553,10.71767113,7.918289267,14.94453464,8.791666666,31.65566293,4.487722269,9.90766773,33.96418832,10.21748053,11.68922348,14.68498347,13.19848331,20.90450946,5.881041307,23.6187353,6.761402705,15.27168575,6.693060084,11.68757537,23.96304764,19.08849965,9.779873988,16.77357032,21.22735524,81.40538401,9.143146865,13.42594374
1976,13.32288401,7.318688995,9.068609811,-8.400718778,4.494011647,7.54173863,1.715477366,18.91891892,3.485833333,3.854389722,4.246634608,9.010290836,7.765550239,10.67139375,9.711421109,17.62487561,9.347052796,14.34269309,9.625495782,16.55952256,13.02429447,10.725,4.883418958,7.038152278,19.8286537,-7.633947634,17.98569586,11.25614251,31.31086762,16.61416647,9.793653275,9.374036386,15.32732854,9.793653275,1.329518681,9.797346437,8.502152443,15.82472249,0.55151283,22.3844017,2.633711507,6.643275633,24.3,8.830643559,9.161472765,16.90685701,11.63675956,7.158323731,3.949999999,33.48327566,9.199227136,21.1419048,4.474614747,9.267754576,1.674884264,7.034689632,10.24922465,10.06953803,17.45568939,50.62304956,5.744812635,11.0204016
1977,12.30982019,5.494609539,7.096000591,29.9861043,8.107255521,7.976445396,1.295997511,34.09090909,4.160475483,7.326460481,3.734168424,10.92223781,12.85352751,13.01405518,9.767464736,24.5380634,9.767464736,11.79334692,9.494554672,15.84026675,12.36977333,12.32457969,8.434707719,6.491900581,11.05208979,8.307470092,13.47222526,27.28778468,34.61671467,17.13004879,11.19100164,8.161826896,10.09666316,10.68895742,1.224879588,6.705494115,12.59700099,29.06412471,10.0403748,-1.156687243,4.788224014,7.239064695,15.08783406,6.39930319,9.103839712,14.38354942,11.44180511,10.13296769,4.585537919,38.05409142,9.898751597,31.0167491,9.359852917,9.299197192,17.07633079,11.82027754,11.44180511,11.46793259,25.98533787,58.19617502,6.501683995,11.15196487
1978,8.004926108,3.574325327,4.470593316,8.269140072,10.35567228,8.973723352,1.02879153,17.51412429,6.038991916,7.436283299,2.718690536,10.21365457,3.477850342,11.65007264,7.573712239,19.77368321,7.755245963,7.799350746,9.250558467,8.263141039,12.57243712,8.28797625,5.748324646,-2.673594984,8.112582595,2.523048757,7.71114118,11.7219692,50.55095249,12.09401384,34.89980152,4.209566011,14.46028762,10.50795993,12.14159728,3.094660774,9.71603275,17.45729257,4.70751125,-6.044706126,4.860064586,8.302343595,21.70924574,4.112013169,8.161671543,11.95661797,8.973723352,6.138692667,4.200521233,57.84878263,7.334525939,21.03877236,10.66024759,8.083298826,19.2304044,13.27512329,9.995265417,10.50795993,61.89704444,44.54834367,7.630963839,11.13560797
1979,9.122006842,3.707403333,4.469083949,14.99346595,19.71971678,9.144676979,3.647641913,24.19871795,9.162929746,9.463708295,4.043622006,9.611050379,9.173805134,10.26625623,8.465334904,15.66022668,8.22168693,7.466961513,10.64673417,13.42127998,19.09417785,11.34338588,12.13535589,13.0939243,16.23276576,6.275683368,13.29545399,10.48723673,78.31001141,14.79857357,29.07925961,3.701850925,18.3235003,14.84230817,10.73192143,4.54652779,8.331365418,18.1912463,7.147107438,5.672295029,3.654467998,10.19957405,11.70973062,4.199292962,4.509727612,13.69959502,10.64673417,8.267046976,7.988818596,66.69442297,17.53333333,21.89922481,28.1610386,9.049209594,31.13845501,14.05602474,7.20978617,14.84230817,63.54310825,66.84428619,11.25447113,13.2936509
