Country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Grand Total
Indonesia,121.97,117.47,114.32,120.65,130.46,137.74,142.40,154.26,184.44,193.20,221.16,237.28,280.87,316.93,345.59,385.72,430.79,447.56,438.57,460.85,453.86,493.78,510.84,535.92,569.52,652.26,692.11,745.12,785.84,808.96,864.67,923.63,1023.96,977.73,1022.32,1147.78,1165.20,1209.07,1229.79,1307.50,1302.61,1244.67,1318.49,1286.47,1316.50,1411.14,1588.55,1639.34,1662.31,1679.95,1558.20,1572.26,1660.04,1724.36,1732.49,44799.46
Iran,142.90,156.00,172.29,189.27,207.36,223.95,246.19,273.95,329.38,382.76,449.69,506.26,591.50,593.40,625.53,569.69,563.67,614.91,749.89,808.89,892.44,822.03,858.97,898.14,969.54,1003.85,1066.37,1136.30,1233.65,1283.12,1286.54,1339.44,1390.98,1345.56,1356.43,1403.76,1421.75,1435.14,1456.37,1495.56,1651.06,1800.99,1837.73,1927.11,1919.79,1788.44,1822.88,1859.25,2019.50,1901.19,1713.30,1764.49,1807.90,1834.79,2018.25,60160.07
Iraq,26.02,28.13,30.44,32.88,35.63,48.23,51.75,63.59,62.22,62.33,63.57,79.93,93.12,88.58,107.33,141.79,151.37,158.94,179.19,195.28,229.88,245.34,255.39,280.28,313.32,312.70,226.32,356.37,503.15,574.26,558.94,594.40,713.21,474.33,347.03,461.41,533.13,501.60,475.13,515.55,496.69,506.76,489.69,480.56,535.78,570.06,629.22,665.76,716.04,681.29,683.19,760.27,723.73,704.60,716.29,19532.01
Ireland,46.55,52.17,58.49,64.81,70.94,79.35,87.81,96.22,104.46,103.46,101.28,102.67,110.13,119.87,125.50,112.98,101.45,89.93,81.79,80.19,80.24,97.85,86.67,79.50,82.13,90.40,98.71,102.98,104.65,113.82,116.21,122.04,133.17,148.87,168.31,168.03,181.54,178.67,174.90,180.51,190.67,190.97,194.42,185.72,164.24,155.86,145.02,137.34,138.97,138.13,144.07,149.74,149.41,155.26,155.71,6694.77
Israel,76.00,79.26,82.61,85.91,89.83,93.65,97.67,101.77,107.93,110.11,113.53,119.57,125.28,133.57,146.48,158.50,161.48,156.91,149.13,139.08,132.12,137.12,153.54,168.59,173.42,179.95,185.07,195.43,204.11,225.37,253.99,254.16,238.18,258.10,276.06,279.12,259.36,257.42,263.63,248.19,256.96,247.72,262.04,254.33,232.30,240.62,254.34,294.86,222.62,213.63,226.28,230.47,254.96,249.78,254.10,10366.20
Italy,978.99,1079.86,1198.53,1318.67,1462.60,1658.89,1789.87,1885.62,1982.79,1927.03,1814.70,1890.74,1844.12,1975.59,2035.51,1929.29,1900.22,1809.37,1815.81,1732.34,1725.93,1765.93,1845.16,1876.33,1909.07,1924.43,1900.64,1931.94,1906.19,1903.52,1971.71,1941.94,1954.14,1955.24,1962.47,1928.03,1918.72,1914.76,1900.46,1844.43,1793.82,1786.78,1736.41,1644.88,1536.33,1499.56,1443.35,1350.29,1245.73,1179.95,1227.31,1236.48,1249.33,1276.87,1217.78,93436.46
Japan,1705.08,1945.19,2388.41,2765.21,3284.04,3876.21,4285.45,4570.64,5264.60,5068.19,4787.59,4975.96,5128.23,5478.83,5545.10,4988.73,4749.65,4453.17,4457.92,4674.42,4486.62,4542.09,4555.99,4879.25,5094.05,5239.59,5327.61,5454.85,5367.24,5651.85,5770.82,5802.00,5756.16,5525.91,5637.01,5542.03,5392.43,5311.84,5417.62,5269.69,5353.89,5173.61,5013.32,4846.44,4389.26,4434.24,4434.59,4694.30,4507.58,4292.44,4137.96,4006.22,3970.86,3854.54,3812.02,257338.51
Kazakhstan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,421.06,384.11,371.79,372.83,382.04,440.50,444.93,414.88,320.00,247.10,242.44,204.89,206.98,172.14,143.88,159.58,157.71,156.76,170.99,186.93,190.97,205.86,226.94,238.10,199.99,210.54,242.70,245.05,260.45,261.89,295.01,305.32,317.24,339.74,352.52,9493.86
Kuwait,108.92,106.34,103.85,101.21,99.21,97.03,96.25,104.27,99.39,91.28,72.65,84.29,81.81,87.86,98.26,83.10,112.07,129.62,143.27,157.14,152.84,156.88,155.39,152.91,155.38,66.62,70.98,100.33,103.19,136.44,141.69,138.26,154.26,229.61,255.77,256.93,264.59,285.09,333.72,373.82,410.62,377.63,382.99,405.83,454.97,478.16,452.65,498.81,516.94,455.21,471.29,482.33,440.03,434.18,426.59,12430.77
Latvia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,112.43,94.65,76.97,68.85,69.04,65.07,63.11,47.91,42.97,40.65,36.59,38.17,34.33,33.04,30.95,26.23,30.51,30.22,30.65,32.82,34.71,32.89,35.72,34.83,31.68,35.72,32.91,32.87,33.38,33.65,35.29,36.30,37.23,34.64,37.77,1524.74
